pos_genes,neg_genes
TBC1D30,FCGR2A
IGLL1,UBE2J1
XIRP1,DUS4L
STRADA,WRB
GOLGA7B,BCL7C
CPLX2,ZNF185
COQ3,LINC01485
LZTS3,GALNT10
SNRNP35,ISG15
CCNE1,CRNKL1
ZNF584,KIF2A
SEMA4C,TMEM128
CEP152,AGA
NKX6-3,C6orf52
FIGN,ADAMTS9
ZNF714,RSPH1
MAP1A,HRK
CTSC,CLCC1
FRMD4A,LAMTOR4
DNAJC11,CYHR1
RINL,CASP1
SORT1,ANKDD1A
CDKL1,TRIM8
CCDC58,BLCAP
DLST,C21orf2
DIO3OS,CDH4
CYC1,CORO1A
PLEKHA8,DTNBP1
SLC7A5P2,ARHGEF40
BTBD11,APOPT1
EEPD1,PITPNM2
ELAVL4,GLRA3
MOCS1,RAB10
RNF113A,MORC4
FOSL2,RXYLT1
PLEKHM1,RABAC1
TPGS2,KIAA1147
TAPBP,LRMDA
IFITM10,YWHAQ
LRRC14,DAAM1
ZBED1,ACTR10
GLRX3,LARGE1
IDE,ME1
CCNO,RPL10A
HECW1,RPL29
LINC00599,MS4A4A
METAP2,MPEG1
NKX3-1,DIAPH2
SLC43A2,LIMD2
AAK1,RRAGD
RORB,CYB5D2
POLR3D,COLCA1
CLPX,PDGFRL
ZBTB33,FAM229B
ST3GAL3,NUDT2
TNNC2,DUSP23
CNST,NWD2
ST3GAL2,EDNRB
AMPD3,MAGED1
NFIX,MRAS
IFFO2,GLUD2
ASH1L,KANK1
EPC2,CXCR4
ADORA1,ZNF449
AK1,FCHSD2
ATG13,LOC100288911
TMEM178B,CDH9
NAPA,MYL6B
CYB5R4,CYP26A1
MCF2L-AS1,CARD17
HIGD1B,PCDH15
ESM1,CPNE3
CUL3,TMEM256
NUB1,AZIN1-AS1
MROH8,MBOAT2
CDK11A,ATP2C2
EPS15,GAMT
C21orf33,UBE2Q1
ABHD6,KLHL1
SH3BGRL,RXRA
NSG1,CDH10
LDB2,DCHS1
BDH1,45180
TDRD3,B3GNT4
CLCN4,ERMARD
UBAP1,SLC2A13
OXSR1,TRAPPC6A
VPS36,PHLDB3
TTLL11,MR1
WASHC1,MATN2
SLC35C1,ANXA2
PCNX2,C1orf220
TSPYL1,CDH11
SMIM13,CNPY2
EMILIN3,HIST1H2AM
KCTD1,NENF
GNRH1,C11orf80
APPBP2,SRM
C12orf10,ADAM28
PLEKHM3,PDGFC
MAP1B,SLC52A2
SRA1,PLPP5
P2RX6P,TMPRSS5
TRMT10A,MASP1
STIM2,PRAF2
KRBA1,ITPRIPL2
C12orf54,SMAD3
TRPC3,TSPAN33
DNAJC27,SCG2
XYLT2,CTBS
MRPL47,GPR68
NUAK1,PDIA3P1
PRO1804,USP51
MAFB,DDX25
ZNF500,BRMS1L
LMBR1,AVIL
EMB,SMO
RORA,RPL37
PPP2R2C,NWD1
PITPNA,BDNF
VAV3,LSM4
LRPPRC,MOV10
STAT4,CMIP
STK26,HIST1H2BF
LRP12,PPP1R42
MTAP,USP9X
ZBTB8OS,CRELD2
COPA,PLPP4
CWC22,KDM1B
ASPDH,NFIA
MCF2L2,LOC644936
DEPDC5,PTBP3
MYBBP1A,RAB34
LINC01128,SCPEP1
DSCC1,POLR2J
NLK,PKIG
GART,DARS
ZNF546,ZNF285
FAM76B,HTR2C
NIPA1,CCDC153
BCL3,TUBB2A
DDX3X,BCHE
MC1R,PSAT1
GCC2,TMEM176A
SPOPL,ICAM3
TMEM201,ASXL3
LYRM4,FXYD6
ISCA1,REXO5
CA7,JUP
SLC20A1,RAB3GAP1
RFPL1,DIAPH3
FNDC5,F12
LOC100506124,CFLAR
PHLDA2,GNAZ
TOMM40L,C5
MSANTD3,C1QC
RBMS1,UMPS
PTPN12,LIG1
AKAP7,EIF3D
SPART,USP11
JRK,ZBED8
TMEM255B,MRC1
MAP3K13,KLK5
LINC01137,CMTM3
NUDT15,SRSF12
C6orf136,NUP88
GGH,HBZ
KATNAL2,RPS19
HS6ST2,ACTG1
CACNG2,ZNF727
SRPK1,RNGTT
PFKFB2,NPTXR
ZNF232,AFF2
SOD2,BEX2
VCPIP1,NISCH
HMCES,NTRK3
RRNAD1,ATF7IP2
NECAB3,FAH
SUGP2,LOC257396
LY6D,SELENON
GRPEL2,PTRH1
ZMAT4,ALKBH7
CHEK2,DDX49
OR2L13,AP5S1
HTR5A,DYNLT1
GRAMD1B,IL3RA
IRS1,PGAP3
ZNF562,LYPLAL1
PWARSN,TXNL4A
FAR2,PPP1R32
INPP5F,MPP2
FKBP2,RPS11
PPIL3,STMN1
AKAP12,MBLAC2
PAG1,EPHA5
DGKI,SRR
PIP5KL1,DCAF5
PTPN14,PABPC1L
MBD2,FRRS1L
LINC02012,LUC7L3
DCBLD2,TIMM10
CACNG7,CSF1R
PLEKHH3,RPL38
SYT3,LINC01410
FLYWCH1,NAA38
IGSF1,TRIM71
SMOC2,GDPD2
AARD,GJA1
TRMT9B,CCDC28A
PI4K2A,FAM114A1
KIAA1107,HLA-DMA
DEFB131A,CAPN12
PWAR5,PACS1
KIAA1614,EMG1
KCNK12,COX6A2
TAB3,KLF10
IFIT5,MT1JP
TRIM35,EBP
DMKN,EMP1
GREB1,FGD3
SPOCD1,GMFB
TRMT61B,RTL8C
FMR1,ALPL
NEFL,FLJ30901
PIP5K1B,PCLO
AQP11,EZR
ACVR1C,FOXO1
HAR1A,PHF20L1
SLC38A2,METTL6
TIRAP,GCNT1
ARHGEF11,PSMD8
NTHL1,PCDH19
ZNF383,ZNF764
TDRD1,UFC1
FDX1,RPL31
ANKRD20A8P,FAM120AOS
TRIM58,PYCR1
MYMX,HTR7P1
NGEF,GRIN2B
CKAP2,CASTOR1
STAG3L4,PHF14
NUP93,SLC2A10
STXBP5L,ATAT1
PEPD,CLPP
STXBP1,C1QA
P2RX6,AMIGO2
SLC19A2,KCNQ1
ITGB3BP,LOC101060091
MBNL2,RAN
INTS4P1,NPY
BCL2L2,PPP2R5A
SPNS2,CTSH
SLC25A40,LRRN2
RNF26,SBF2
ARC,C11orf97
LTN1,ZNF577
HUNK,CELF6
USB1,AQP4
MKLN1,TLR2
ADD1,CD63
ATP1B1,WDR77
GABRD,CNIH2
INIP,PDCD4
PPIEL,ASCC3
PINX1,MLF1
UBE2W,SLC29A3
PGP,FAR2P1
DENND2D,EID2B
ZDHHC21,WNT7B
GABRG2,FCGRT
ACHE,FAM47E
PASK,MGST1
DACT2,CAMKV
XKR6,KLHDC8A
KAZN,TSPYL2
HARS,PABPC1
NMRK1,LOC102723665
SRPRA,MVD
LIAS,SHISA4
CAMKK1,NOS1AP
ALDH1B1,STOM
SULT4A1,CCNH
PSMD6,JAML
EYA4,RFX3
ZNF487,REC8
ALDH1A1,GMIP
LMTK2,MINK1
SCN8A,RPL27A
MICAL2,ZDHHC14
RWDD2B,PUM1
PLCB4,SMIM4
LOC643406,DPH6
ST3GAL6-AS1,SLF1
ZW10,GALNT14
STX1B,LOC729732
MTUS2,CALCRL
TICAM1,TFPT
TRIM26,BABAM2
NEXN,CIDEB
LRRC4,HRASLS
FGF7P6,B4GAT1
NUDT5,LOR
TLE2,CCDC158
SFXN1,IFT74
RAPGEF5,DNAJB1
CLGN,RPL41
KALRN,C1QB
LAG3,SNAP29
ZNF189,STK17B
PRICKLE1,LAIR1
NFKB1,ZNF436
JMY,FAM57A
CAMK1D,VCP
ZNF557,APOC1
SEC62,LINC00665
PRAG1,DMD
PRRT3,FAM129A
CHML,HMGCS1
PJVK,CD74
RANBP2,SPIN1
ATP6V1E2,KCNJ5
COL9A3,GXYLT2
CNIH1,B4GALT3
CEND1,SPATA1
TMEM250,LOC644189
LOC652276,FYB1
MIR4697HG,B4GALT2
PLEKHA6,FKRP
PDCL3P4,CHCHD5
SORBS1,LOC101060391
NSRP1,ZNF678
MRPL22,MYADM
PURA,NECTIN2
MAT2B,LCP1
LINC00680,HDGFL3
GNPDA2,CRB1
SLC38A1,SLC25A28
SLC47A1,CPSF6
SIKE1,LRRN1
USP8,GSTM2
ZSCAN29,HIBCH
PSME4,DTX1
TNF,CDKL5
ARHGEF18,DENND2A
FBXO28,CAV2
ZNF106,METTL9
ZNF284,COMT
ATG16L1,AKAP5
ZNF576,COP1
E2F1,TMSB10
KCNS3,FAM212A
COG2,UBE2L6
LPGAT1,MARK1
ATP2B1,DZIP3
NOB1,HSD17B14
NKX1-2,PRDX1
EEF2K,FHOD3
ZNF223,SFTA1P
NCOA3,PRPF40A
CORO6,LINC00674
PIK3CA,WDFY4
KLC2,PSMB7
KCNT1,SELENOW
PTPRE,C10orf82
ISLR,SPSB2
BBS7,ASL
MTPAP,GLI3
MAP7D2,UAP1
ZFP14,MAPK8IP1P2
RERGL,AIM2
IGIP,DBN1
BRSK1,SULF2
CPSF1,PRMT2
NARS,CD151
ABHD12,PIRT
SLC25A32,RPL27
ZC3H7B,TBX19
PIM1,SCIN
PKD1,SIL1
TRIP11,USP37
ANXA3,AHCY
TRMT2B,SLC1A6
ARHGAP44,RPS6
NCEH1,CCS
ZNF567,PAXIP1-AS1
SOAT1,TAMM41
HERC6,C1QL3
FAM81A,C16orf58
SCAMP5,LINC01750
DENND4B,PSMG3-AS1
MAX,CELF4
GPLD1,HRAS
CERK,JMJD7
STX16,SEM1
TSC22D3,TDRD9
FOXRED1,NT5DC3
PDE4A,CYBB
FUNDC2,CRNDE
ADGRL2,H3F3C
AKAIN1,SLC17A8
FBLIM1,RTL8A
VWC2,CCDC8
CLN6,DYDC2
VILL,CELF5
TMEM169,FAM89A
MTFP1,PPIB
TRAK2,VPS37C
GMPR2,LPAR6
TSPYL4,FAM45BP
KIAA1841,KLK10
APBA2,LOC729683
RPS6KC1,SYTL5
MPC1,APBB1IP
NR1H2,TPPP3
TMEM237,UBA52
PPFIBP1,NDUFC2
FAM133DP,SNRNP27
CDADC1,ADCY2
PCP4L1,HLA-DMB
MCF2L,CDC42BPB
TRMU,NADK2
ARL2BP,RBM4
ZFHX2,CNTNAP3
SLC12A5,CDC42P3
CCDC47,PTS
PC,APH1B
TMTC4,DPYSL5
MYO19,ADGRA3
ROCK2,ZFAS1
DENND1B,EMC7
NF2,ZMYND15
CS,FAM102B
COL7A1,GRPR
LINC01102,TNFSF12
FOCAD,AIF1
LINC00266-1,CXCL2
ASAP2,SFTPD
STS,MYRIP
CDKN2C,ZFYVE1
TTC39B,WTIP
DCPS,DPP10
UBE2D4,STON2
RICTOR,MAP1LC3A
GZF1,ST6GALNAC6
RNF220,ATP6V1C1
DNM3,BMP2K
CNEP1R1,NRAP
HCN2,LINC01315
IQUB,SGCD
ZBTB11,LIMS2
GALNT13,TSKU
SPTSSB,DENND2C
TBC1D19,PRPSAP2
NNMT,SLC7A11
ZFP91,FAM53C
DYNLL2,DGAT2
POGLUT1,ORC6
FBXO32,FIGNL2
SMIM37,NHLRC1
CBX7,FOXRED2
LRRC59,MAD2L2
AK2,RPL29P2
TMEM38A,GABRA3
SCN2B,RPS2P32
LINC00652,PHACTR3
TMEM223,TGFBI
MGARP,PREB
APOL1,CREM
RNF208,ZBTB44
LYST,CLNS1A
SLC39A14,PRDX4
HAGHL,STX1A
PABPC1L2A,GADD45GIP1
METTL21A,SMIM10L2A
LRCH1,ACSL4
FAM126B,ZNF350
CLEC2L,XYLT1
SLC5A6,PLEKHO2
HSD11B1,COL23A1
CCNB1,ILDR2
MTIF2,CTXN1
FES,S100A16
KAZALD1,TMEM181
FGD5,TPM3P9
LOC100505938,DOC2B
DDHD1,ARHGEF28
FBLN7,ATXN10
TBR1,ANKRD36BP2
DCAF8L2,SLC25A21-AS1
LRRC20,FAT1
KYAT1,EFEMP2
SGIP1,CLDND2
AIFM3,DDA1
SH3BGRL2,UHRF2
PLCD4,RAB32
ZFYVE9,AXIN2
SMYD2,C16orf70
SIRT4,MFAP4
ANKRD42,BTC
MAGI2-AS3,TMEM61
PDP1,PCDH17
ZNF493,MCMBP
FRMD5,PPIL6
TPBG,SH3GLB1
PRSS56,PPEF1
MRPS30,MLC1
GAPVD1,NHSL1
CCNT1,CHTF18
DDHD2,SUB1
FLJ42627,HMGB1
CHCHD10,PSD3
EVI5,KCNJ16
RFPL3,VKORC1L1
SHROOM2,CCT5
WDR37,TFEC
TRPM2,PTDSS1
SLC8A1,LFNG
DYNC1LI1,GRM1
GPR161,COG6
SYN3,CDK20
SUMF2,L3MBTL4
PTX3,SH3RF1
GPR108,SH3GL3
MRPL27,APRT
DND1,VWCE
NSUN4,SLC26A4
PCGF1,NCOA6
TMEM86B,RAPGEF4
RSRC1,VLDLR
URM1,SH3PXD2B
MAST4,ST6GAL2
MARF1,SEMA6B
RTN2,MS4A7
MED11,RASGEF1A
NR3C2,SH3BGR
MREG,PEX10
CHIC1,GRM5
FAM216A,MTHFD1
STARD5,PTTG1IP
SLC38A11,EFEMP1
GLCCI1,DDX10
DCLK1,PDE4C
PIP5K1C,MFSD12
SACM1L,P2RY6
TWNK,C8orf44
MRPL15,OXCT1
ATP1A1,LCAT
CDKN1B,TMEM53
SDHA,NR2F2
OCEL1,FTL
PRIM1,CDO1
TTBK2,ENO1
SAT2,NPHP1
AARS,ZWINT
UBE2QL1,PLPP3
SPECC1,ELP2
ZNF143,ANKRD30BP2
GK,ULK2
HEXB,AP3B2
SUPT16H,MKL2
MAP3K6,CYP46A1
EFNA5,PTRHD1
MINDY3,ANGPT1
ANKH,GUCY1A1
TBC1D16,FAM181B
SMPX,GINM1
TCF7L2,NEXMIF
NFATC2IP,OSBPL11
PLCXD1,CEP89
GOT2,PACRGL
REEP2,PHYHD1
TFB2M,GPC5
AGPAT3,MAML2
SYCP2,INTS3
PSMD12,DRG2
LINC01637,DDAH1
SNTG1,PPDPF
FAM217B,TMEM91
TBCE,CC2D2B
GUCA2B,TBPL1
KIAA1656,PHF10
DEPTOR,CDC34
ARMC8,KCNMB4
TMEM161B-AS1,KDM4B
AP1S2,EMP3
OSBPL1A,PBXIP1
VWA8,STIM1
DUS1L,WDR17
RMI1,ROCK1P1
POU6F1,EXOSC10
ATG4D,FAM207A
WDYHV1,PLPPR1
CPEB3,MMAB
L2HGDH,TRIM68
PLCB1,CPVL
CABLES2,SIRPA
FLT3,ISYNA1
TESPA1,PAPLN
LPCAT4,CELF3
SLC35A4,POTEF
PREP,ZNF667
MFGE8,LASP1
BOLA3,KCTD15
EPHX4,TAGLN3
BMS1,SPHKAP
SPHK1,LOC100132356
RRM2B,LMCD1
MID2,DKFZP586I1420
NUDT22,RASL12
IQSEC1,CIP2A
DNAJC22,CTDSP1
GCHFR,OSBPL8
ANKRD9,CLIC5
UBFD1,TRPS1
RCCD1,ITGB8
GRIN2A,ALDH9A1
DCUN1D2,FAM220A
COL27A1,MYDGF
MOGAT2,RGS14
ST8SIA5,PPM1F
MATK,NUDT18
KLF9,NTSR2
RPS6KA3,DDRGK1
RBFOX3,PRR5
BHLHE40,SOWAHD
RUNDC3B,SHISA5
COASY,STAB1
KCNS2,HMGN1
RBBP4,RPS10
TMEM178A,PNRC2
RND2,MAN1B1-AS1
NREP,PRIM2
DNAJC16,MIF
IER5L,MORN3
ZDHHC3,ZNF883
TRIM44,TOM1L1
CLEC4M,ZNF229
LOC101928087,RASL11B
KCNAB3,LOC339803
FAM78B,LGR4
PPP1R3E,MT1M
NR3C1,TYROBP
LINC00889,FUT4
CCNB1IP1,COG5
CDR2L,P2RY13
DHX35,BFSP1
LOC100507642,FAM174B
KATNAL1,NOV
MRPL12,TMEM176B
IGLON5,TAF1A
FAM71E1,DNAL1
CAMTA1,SMAD9
TDP2,RAB8B
ANKRD29,CYP4Z1
EXTL2,ETNPPL
PRSS16,FOXN3-AS1
SLC4A8,PNPLA4
TMEM14C,SSBP1
SLC35F3,RPL35
ZBTB16,MCCC2
GLRX,TMEM106C
INPP5A,YIF1A
CHGA,ADH5
C6orf106,WIZ
HTR1F,ME3
LMLN,ANKRD12
TTC39A,FDFT1
PIF1,IDNK
SLC9A1,HES4
ETS2,RGS8
EFR3A,MAFG
NOM1,ARL8A
USP45,MTMR3
MADCAM1,ZDHHC22
ZBTB1,DHRS9
REPIN1,LGALS9C
FASTKD1,LOC100049716
THEM6,RBM8A
SOHLH1,NDUFA11
ELOVL4,PNP
FAM167B,ARHGAP5-AS1
PPP1R3F,SYTL4
STPG1,MID1
ABLIM2,GIMAP2
ENTPD4,PPAT
SMIM3,KCNMB1
TIGD3,FZD2
JDP2,CD99
ZFYVE19,ENKUR
SH3BP1,CALU
SAE1,44993
MRPS30-DT,OCA2
SLC16A7,SLC26A4-AS1
LINC00515,OLFML2B
SLC7A8,GALNT16
SDHAF2,PA2G4
PRUNE2,HPGD
LOC220729,S100PBP
C1RL,DCAF7
ACTR1B,CD33
SMCO4,ACTG1P4
VGF,BCKDK
SPAG4,TTC8
IDH3G,LRFN2
EPB41,SLC40A1
PARP3,PPP1R26
MAGI3,DNAH9
CAST,FADS2
LRRC38,WASHC3
EMBP1,KCNK2
ALX3,MTA3
FSTL4,TMSB4Y
KCNH1,LY86
AMER1,RAPH1
ANKRD2,SWSAP1
UPP1,SUGT1P3
CDH7,YJEFN3
BID,CERS1
ATP1B3,ENOX1
POPDC3,RBM24
CCDC115,TUNAR
TMX4,FAM213B
SLC25A12,ARPP19
FAM135B,DCAF11
SPECC1L,RPL36A
SIPA1L3,TMEM258
RNF168,HCFC1R1
NAP1L2,SLC37A1
CORO2A,GRIK5
GLS2,SYN2
ANKRD20A4-ANKRD20A20P,GPT2
IPCEF1,KRT83
ABTB1,DHCR7
AGO1,SLIRP
44991,ZIC5
HCN1,SNAI2
GNL1,CALML3
FRAT2,SCAMP1-AS1
TMCC2,ROMO1
ZMYND8,LPP
TEX29,TTLL1
LINC01260,MRPL20
FER1L4,PAX6
HEXIM1,AMZ1
CLEC16A,SLC39A4
44987,PRNP
FANCI,PLIN5
THEMIS,CHRNA6
PCSK1,LST1
DPP8,DNAJA4
ZDHHC2,P2RY12
TAF4B,C4orf47
EIF5,FAM49A
SLC25A37,ASTN1
GLRX2,YWHAH
TBC1D4,CACNA1H
MSTO2P,CHRNB1
CISD2,SMOC1
KBTBD12,DEGS1
KCMF1,MAGIX
NOVA1,CARD16
CDK14,HAVCR2
CAMK2G,AGPAT1
CACNG8,PXN-AS1
ACTN4,C1GALT1
LIMK1,RGS10
TMEM229B,PTGR2
IL1RAP,ARL15
HECA,BLNK
OIP5-AS1,FGF2
ACYP2,AFAP1
BICDL2,ARRB1
ABCG4,DLG2
NAP1L1,RNASET2
PLEKHM2,AGAP2
RET,FZR1
UGP2,MT1A
FAM206A,SERF2
SLC39A13,MSRB2
EML2,PM20D2
RRS1,RAMP1
MIR29B2CHG,YAP1
FIZ1,TBXA2R
BCAT1,BBC3
TNIP1,AKIRIN2
HNRNPUL2,VSIG8
ACAN,CHPT1
PPM1H,VASN
MAP1LC3B,LGALS3
MYC,UBE2Z
LIN28B,DSEL
OSBPL6,CPNE5
MTDH,PHGDH
TCOF1,NUBPL
SORCS1,SVOP
SPHK2,MEIG1
CDS1,PP7080
LURAP1L,CDKN2D
ADRA1D,FAM204A
ESRRG,NT5C3A
STEAP2,TMEM132A
FGF7,PTPRC
SNAP25,DYRK2
LOC100507507,GNG12
FRAT1,GSTP1
LTB,HSD11B1L
LINC01296,DACT3
SBNO1,GALNT17
GPCPD1,LINC01881
WFDC2,HMGB3
C2orf27A,RNF11
FGF7P3,GUK1
BRAF,CD6
ADAM22,ZNF462
CACNA2D2,MRPL28
ADO,ATP5ME
ANKS6,CMKLR1
RELT,GGCX
CIDEA,LINC01547
NT5M,MX2
OGDHL,BLM
MYADML2,NHP2
HSPA4L,POLB
TOR1AIP2,MPHOSPH6
KITLG,C2orf69
IGFBP6,TTC38
NDRG3,METTL26
MTCL1,KLRC3
KCNC4,SAR1A
ITPR1,TMEM108
C17orf75,DOK5
ARMT1,RGS18
FNDC4,FCGBP
TIFA,P2RX5
HES6,KLF6
ARL5B,KCNG3
PDP2,MYH15
MICU3,LIFR-AS1
SLCO4A1,SULF1
SNX21,ZDHHC24
RPS6KB1,ZNF45
KBTBD3,MCFD2
SUSD5,CHCHD6
FMN1,CCBE1
LYRM7,ZNF710-AS1
CCNI,EPB41L4B
AR,PUF60
GAS2,PSMA6
PCDH12,WDR13
C12orf49,DDR1
NRG1,ATP8A2
FGF9,NACC1
INA,CCNY
FLJ23867,GPR34
SEC14L5,SOGA1
RAB3GAP2,SPRED1
CAMKK2,FBXO44
EPHB6,TCEAL9
GFRA2,CYTOR
LRRC37A4P,LOC101927752
B4GALT6,ANG
TOX2,CD68
ATP2B2,MYB
EIF5A2,WDFY2
IMPAD1,CRIP2
THAP10,KIRREL2
HSPB6,ZFP69
RAB37,RAPSN
OSTF1,DBI
EPB41L3,SYTL2
GPR158,ASIC2
STAU2,GRK6
MCF2,PTPRZ1
ONECUT2,ALB
TCHH,SFRP2
IPW,ARMCX1
FAM222B,IFT27
PGBD4,ZNF677
ACSL6,PIGF
ADAMTS5,BCAN
PIP4P2,PPP1R9B
ESRRA,CCR1
SKIDA1,MOSPD2
GNAS,NUDT4
DPH3,SOCS7
MPP1,LCMT1
CFL2,RPS8
ANK1,CETN3
TMEM81,CYP4V2
CADPS2,RARS
TUBA8,RASAL3
ZYX,FNDC9
TFAM,LOC105374952
DIRAS1,RBBP7
SRSF8,PTER
ATP1A4,NUDT10
FAM131B,HILS1
ST8SIA1,SEC22B
ARHGAP26,SPIN4
IDS,CREB3
ASB13,GRIN2C
ZBTB7A,SLC17A7
SORL1,CFAP44
MYH7B,ZNF512B
TAF13,FAM24B
DNAJC4,SCG3
WDR4,ZFR2
HPS1,TMEM63C
SRXN1,NRG3
SDSL,RPL26
STRN,TTPA
UBQLN4,TLR3
LGI3,GBA
KCNB1,ITGB4
KIF9,C11orf95
DOK3,CSPG5
ATP2B3,PLK2
MTMR2,SPATA13
CKMT1B,LOC645166
PTPRD-AS1,PBLD
STRBP,DGKH
GLIPR1,SLC4A4
MAP9,NYAP2
FASTKD5,PLXNA3
OXNAD1,TMC8
SLC25A5,DENND1A
SERPINB9,ZNF827
DEXI,PSMF1
TIGAR,TIMM17B
TESC,TPST1
LYNX1,MEGF11
TMEM132C,CHAF1B
NIPAL2,MAOA
PHYH,RUBCNL
MAD1L1,CCDC189
TP53TG3D,TMEM59L
CTIF,BATF3
NUDT8,ATP8A1
MIR600HG,HSD3B7
GSTT1,VBP1
ERRFI1,MAPRE2
PPARGC1A,WFIKKN2
SAP30L,TNFRSF11A
LOC729737,CRIM1
ATRNL1,MAPK3
RILP,RAC2
SCRT1,HSD17B10
SERTAD4,PET100
RELL2,MZT1
FBXO33,RNF216P1
SLC20A2,NPTX1
SERTAD4-AS1,DAP
GDPD1,HMGCL
CHAF1A,FAM27E3
MYBPHL,RPL31P11
TCTEX1D1,NIPSNAP3A
SLC24A2,SEL1L3
LYPD5,HEXA
PCDHB16,C1QTNF3
STAR,ERICH3
SYT2,GPC6
HAPLN4,MILR1
CAB39,ARAP1
HR,44986
ADAM23,FGL2
LOC100286906,CTR9
ADCY9,KLHL2
SCN1A,DIS3L
CA13,TRIM45
LUZP1,GSG1L
LRRC75A,AKR7L
ECM1,SLC44A3
KCNJ14,FABP3
TRIM37,FZD9
KCNC3,ADAMTS19
IDI2-AS1,CYP4X1
RASGRP2,VIPAS39
RAB11FIP5,BEX1
CD99L2,CCZ1P-OR7E38P
RALB,NDP
GPAT3,CMTM7
RTKN2,THBD
KLF12,KCTD21
MAGEL2,STAG3
COX7A1,CENPM
PIM3,HLA-G
CPLX1,AIG1
STAC2,ARPC3
EML6,MTCH1
CCDC25,LOC100130331
LAPTM4B,PSMD9
SEMA7A,CENPP
NOS2,HNMT
BEND6,PANK3
PVALB,ZNF239
NEFM,MBNL3
DNAJC21,PLEKHG4B
ARHGAP9,RIBC1
RHBDL3,FBXO2
ALDH1A3,JADE2
SCN4B,FAM86B3P
KCNH6,NLGN1
RIMKLA,COL9A1
USP31,VAT1
SYT12,SLC22A4
C3orf18,CARHSP1
SLC16A6,FAM160A2
PRKCB,ABI1
RAD54B,ADORA2B
ESYT1,BDKRB2
KCTD9,CLPS
GCLM,TBC1D13
CABP1,SCCPDH
ELMO3,KCTD10
ANXA6,KDM5B
ARHGEF17,TLN2
RRP12,MCUR1
EIF4E2,TMEM100
VAMP1,IL13RA1
KCNQ5,FGFBP3
EPN3,MIIP
NFIC,TNFAIP8L3
EIF4E1B,CPEB2
APOL2,PTOV1
ZNF365,FADS3
KCNA1,RTN4RL2
MYOZ3,ALG8
RHOBTB2,CEP68
MAPK10,IKBIP
MROH5,NMNAT3
PLXDC1,GMFG
XKR9,NFIB
PNKD,ASH2L
PPTC7,MEST
NAT8L,RALA
COL6A1,SLCO1C1
LRPAP1,SSTR2
SYNDIG1,KNTC1
CCDC39,C19orf57
PELI3,SCN2A
KCNA3,SNAPC5
NEFH,GALNT18
RNF157,HLA-DRA
TPTE2P6,ITGAM
SCN1B,PJA1
RFPL2,TMIGD3
KCNC1,ELAC1
MKX,LIX1
SHD,USF3
FAM78A,HBQ1
CELF2,KIAA1211
KCNA2,PRR29
KCNS1,SPACA9
SV2C,SPRN
ANO5,DENR
,C17orf67
,SMIM10L2B
,SLC12A4
,RNF43
,EVI2B
,NSMF
,IMPACT
,FGGY
,HHEX
,LHFPL3
,TM7SF2
,SARDH
,PPCS
,CSPG4
,C2orf81
,PSMA2
,GRM3
,SLC15A2
,CACUL1
,SUMO3
,TMEM65
,BCAR1
,RPS15
,CDH8
,ALOX5
,ARF3
,IRF2BPL
,NUTF2
,PRDM12
,APBA1
,SQLE
,MAST3
,AJAP1
,B3GNT2
,RLIM
,RPP30
,HOPX
,NUDT14
,GSKIP
,TPM1
,WIPI2
,ALOX5AP
,ENPP1
,MYOM1
,TRAPPC2
,AKR7A2
,VIM
,IDH2
,CLEC18B
,PARP14
,LYN
,EXOC5
,LOC101928111
,PPFIA2
,RAB35
,PERM1
,RIC8A
,PRKCG
,ARID1A
,C14orf132
,JARID2-AS1
,FAM86C1
,LPCAT3
,NPC2
,PDS5A
,ARMCX2
,TMEM216
,MEX3A
,DMGDH
,CRYZL1
,DGCR6
,USP32P1
,IGFN1
,DKK3
,NFATC1
,PCDHGC3
,CDC42EP4
,CYP2J2
,PABPC5
,LOC105379807
,TNNT1
,SNRPD2
,DNPH1
,TMSB4X
,TMEM87B
,RNF5P1
,RGS20
,YWHAB
,FGFR3
,CAT
,HRH1
,SH3BGRL3
,ELMO2
,DOLK
,PNPLA3
,LDHD
,VAMP8
,HLA-C
,STK31
,RSU1
,RUBCN
,PARP1
,FBLN5
,PRORSD1P
,NPY5R
,CRADD
,NR4A2
,TANGO6
,PRPH
,PAPSS1
,MIR99AHG
,S1PR1
,MMP14
,SLC27A6
,FGD4
,VAT1L
,PTPRG
,CACHD1
,LINC01140
,RARA-AS1
,SIRT3
,TMEM179B
,FUOM
,SNTB1
,LINC01736
,ENOSF1
,GSTM1
,NR0B1
,ACOX2
,PRDX6
,AK5
,GALM
,FBXL2
,SOX3
,PAWR
,TMEM173
