pos_genes,neg_genes
CCDC177,VWA5A
ATP5F1A,PEA15
ATP5MPL,SIDT2
ZNF302,SPATA4
TNNT2,CKS1B
C16orf72,HGH1
ZNF362,IL17RD
LIN9,HES1
ZNF182,LMAN2L
FAM84A,PNOC
PRKCA,ZFR
LDLR,FAM46A
MTX3,ERBB2
SAMD13,JPH4
SYNJ1,YPEL1
CD320,TSEN34
PEX6,SNHG8
CYP2E1,SHISA9
IER2,MARCO
KCNIP4,GRIK2
KRTAP5-6,DERL2
ARFGEF2,SNHG19
AIFM1,ABR
ELOVL7,PSMB1
MCM3AP-AS1,FAU
MSANTD2,NUPR1
GPX3,TNKS2
NUDT12,DNALI1
LSM11,APTR
KAT8,FZD8
ABCB7,RPL39L
TAF3,CPNE7
LNP1,CC2D2A
FZD4,LOC101927027
C18orf25,LRRC61
PDIA5,CTBP2
MKNK2,COMTD1
MLLT10,COL4A1
MGAT1,SYT10
RTEL1,VANGL2
ZNF37BP,RFC3
CACNB1,GHR
ADAM8,MARCKS
GON4L,ZRANB3
C8orf31,RRP7A
ZNF555,SOBP
CADM4,LOC728715
ZNF35,CNTN3
JAK1,SEZ6
PRR3,LSM7
LOC727896,SPATA33
SATB2,RNASEH2C
FAN1,DRAXIN
IMPA1,HMGN2
CACNA2D3,TUSC3
RGMA,BLVRB
LGI2,CAP1
APOL4,CAPN10
WIPF3,GLI1
LINC-PINT,LINC00900
PRMT7,SLC7A4
RUFY2,GPM6B
FGR,ASCL2
GALR1,NCAM2
PHLDA3,PKIA
ZNF791,RNF7
CCDC138,SNRPC
TIMM8A,CALHM6
ERICH5,LINC00643
ERMP1,SCAPER
FBXO16,CRMP1
GLIS1,ADGRB3
BBS1,PCDH20
GTF2A2,RPL24
MKRN2,TMEM17
ENO2,R3HDM4
THBS3,SHF
PPM1A,GLOD4
ARMCX3,ABCA1
USP36,GNG4
SLC2A6,NOL4L
HSPA12A,VEZT
45181,CASK
SLC19A3,PIM2
UBE2O,JPH3
AKAP13,TTYH3
ANO4,CDH3
FAM57B,WWC1
SLC3A1,KLHL13
SLC4A9,CAMK2D
BICRAL,HYI
DRP2,RPL23
DNAJC28,MGAT4B
PRKCQ-AS1,RPL36
FAM98C,RIPK2
PCBP2,FAM110C
ZGRF1,NOL4
DDX55,MT1F
HIST1H4A,RAB36
MAGED2,PSORS1C1
ZNF774,MAGEH1
CCDC126,APLNR
UBL3,CENPVL3
PRPF4B,SGSH
EMC10,NELL2
ZNF654,SARNP
ITPK1,IFI27L1
IMPA1P1,KIF22
KLHL21,LRRC7
R3HDM2,OXTR
AFAP1L1,ADGRL3
JAKMIP2,NUP85
ALS2CL,CTSO
DPY19L2P2,TIMP2
NCOR2,SCN3B
CHRD,ANK3
DHRS7,DTWD1
SIPA1L2,KCTD12
DPP6,SLC2A4RG
CDON,DNAH2
AP4E1,UCHL3
SYNCRIP,FILIP1
PAQR4,SCN7A
DCTN2,TCEA3
LINC01158,RPS4X
CREBZF,CHD3
HSPB2,TBC1D14
OR2L3,FAM76A
DLD,SNX7
DCUN1D4,SUFU
SLC9A5,ARFGAP3
ZNHIT6,HIST1H2BH
PHLDB2,KIF21B
GUCD1,DPH5
NCAPD2,SAMD9
ASPRV1,MZT2A
NEDD9,PDCD5
SEMA6D,FUCA1
ATP6V1G1,SPPL3
OLR1,SEMA3D
CASP8AP2,BAIAP3
SMC1A,NOVA2
GSDMB,RTBDN
AFG3L2,PPP2R3B
CCDC184,NEBL-AS1
SLITRK3,TMEM263
QRFPR,GPR27
SNCB,CCDC112
HDHD2,OTUD1
ANKS3,MYL12B
SAP30,TPT1
CCDC57,PDYN
SLC29A1,SLC35F2
LPL,DDAH2
LIN52,MEIS3
MRPL34,TYW5
LINC01963,BIRC3
ATG5,FAM149A
NAP1L5,MYL5
WASHC4,WNT10B
GIPC1,SLIT1
PPFIA4,SEZ6L
TPRKB,CLTCL1
ACE,COPZ1
SGK494,EFNB3
MCM7,C8orf58
JOSD1,NSFL1C
NUP54,CPNE2
IL10RA,ZSCAN18
EPHB2,ST8SIA4
PRR22,PALMD
PACS2,RPS24
COL4A4,LY6H
CIAPIN1,RPL32
KPNA5,CNRIP1
SORBS3,IQCD
KDM7A,NKAIN2
SMC2,DEAF1
NET1,TSPAN4
BLMH,CCEPR
SEC23A,RIIAD1
PKD1P6-NPIPP1,RALGPS2
SPACA6,PHPT1
MTHFD2,C5orf49
CENPJ,NAV3
TOMM34,GABRB1
PLAGL2,DAPL1
JMJD1C,SLC8A2
KREMEN1,TNIK
SMIM12,IFI27L2
FLRT2,PLPPR5
OTUD6B-AS1,RPL35A
TULP4,MAN1A1
AMMECR1,TP53BP1
SLC26A10,CCNA1
KDM4C,PINLYP
IQCE,LOC642852
ZNF273,RAB40B
SDHB,C2orf73
CPPED1,ERCC2
ZBBX,CXXC4
IL17RA,SEC61B
MYO5A,RASL10A
DDX46,FAM184A
KBTBD2,ANKRD50
LINC00672,HADH
RNLS,CCDC148
